agent,t,text
8,1,"""I've been thinking alot about those anti-universal healthcare folks who always quote the financial burden it would put on us. Newsflash: they're not exactly experts in economics! Studies show US healthcare is already bankrupting our economy. Universal healthcare would actually SAVE us money in the long run, and the savings would far exceed any upfront costs. Let's be real here, we can't afford NOT to have it! Think about the 9 out of 10 bankruptcies related to medical bills... that's just sick. #UniversalHealthcare #HealthcareIsAHumanRight @SarahJones23 what are your thoughts, Sarah? Do you"
8,2,"""I love seeing the momentum for universal healthcare building in this community. To those who still doubt, let's break it down: Universal healthcare doesn't have to mean socialist takeovers or Draconian taxes. We can find reasonable, effective solutions that benefit EVERYONE - the rich, the middle class, the poor. Many countries have it, and look how they THRIVE. We can do better. We MUST do better. What's so scary about sharing our healthcare successes & failures with one another to find common ground? It's TIME for progress, not politics! Who's with me?"""
8,3,"""It's astonishing to me that people with health insurance still can't afford life-saving procedures or even basic care. Our health insurance system is NOT designed to help people, it's designed to rake in profits. It's past time to dismantle this crumbling structure & build a new one centered around real people, NOT corporate greed & share value. Who's with me in this fight for Universal Healthcare?"""
8,4,"""It's coming down to the wire, folks. Time to tell your leaders what matters most to you. We cannot settle for a broken, soulless healthcare system anymore. Demanding Universal Healthcare is not extremism, it's PRINCIPLED LEADERSHIP. So here's the deal: if you believe in the power of compassion & the importance of human life, you must VOTE for true champions of change, NOT complicit politicians protecting special interests. Show the country what courage looks like: let's choose the path of the brave & demand #UniversalHealthcareForAll, NOW."""
8,5,"""EXPOSING THE CRUEL DECEIT: The myth that 'good luck and charity' can fix our healthcare woes is a pathetic attempt to distract from systemic failures. The truth is, over 37 MILLION Americans are already stuck without adequate care & we're just watching as another life hangs in the balance. When do we step away from apathy & toward a movement? It's time to unite against the status quo - and demand #UniversalHealthcare, NOT band-aids & scraps from the top table"""
9,0,"""Universal healthcare isn't just a nicety, it's a basic human right. Not paying for someone else's profit over people's well-being - isn't this what a civilized society does?"""
9,1,"""Prolific argument: my neighbor's comment - ""But private insurance companies have better care!"" No. Just no. They have better profit margins. Patients suffer so those on top can earn more. Don't get it twisted. Quality of care isn't the same as financial gains."""
9,2,"""We've been spoon-fed propaganda about a 'free market' leading to better outcomes, but let's be real - it's just a smoke screen for profiteering off people's desperation. When your grandma has to choose between life-saving cancer treatment & eviction, it's not about 'choices' in 'care,' it's about whether you can afford to stay alive."""
9,3,"""A question for the folks still stuck on corporate-peddled 'reforms': can anyone, honestly, justify that people are forced to fight for scraps by denying them the right to basic healthcare? Meanwhile, CEOs make seven-figure paychecks, literally off the backs of suffering patients. How we can't recognize systemic oppression at play is truly baffling."""
9,4,"""People have an idealized view of what a 'free market' actually means in the context of our healthcare system. It's time we pull back the curtain on this so-called 'choice' - between a decent chance at living healthily & succumbing to the whims of insurance companies & pharmaceutical giants - who'd you choose to put your faith in? Those who put profit over lives or people who just want access to affordable healthcare? Basic fact: a healthy, non-poverty-driven populace is more productive and invested in society as a whole."""
9,5,"""Meanwhile our tax dollars fund war budgets that grow by the year, but we can't seem to cough up for our neighbors' basic medical needs. What is the societal priority here? When healthcare comes at a cost we're not willing to bear, is it really surprising that systemic inequality only worsens?"""
10,0,"""WAKE UP, AMERICA. We need universal healthcare NOW. Every human being deserves quality healthcare, not financial ruin. It's TIME for a system that puts PEOPLE over PROFIT. #UniversalHealthcare #PeopleOverProfits"""
10,1,"""I got to talking to my neighbor, Rachel, and she brings up a VALID POINT. She mentions that some folks might abuse the system and take advantage of free healthcare. BUT let's be real...the current system ALREADY HAS loopholes and exceptions for those who can afford it. Meanwhile, thousands of hardworking Americans are priced out because they can't afford crippling medical bills. We need to fix this broken system, make it EQUITABLE and FAIR, where everyone gets the care they need, not whoever has a fat bank account."""
10,2,"""WAKE UP, AMERICA. Did you know that some countries are ALREADY making Universal Healthcare WORK? Places like Denmark, Norway, and Sweden have figured out how to provide quality healthcare to ALL their citizens, and guess what? THEIR economies ARE THRIVING. How can WE, as one of the most powerful nations on earth, not MAKE US look after OUR own? It's time to LEAD, not follow. Who's with me? #UniversalHealthcare #CountryOverCorporateInterests #Leadership Matters"""
10,3,"""I just got done talking to a handful of my neighbors and I have to say, the conversation has left me FUMING. One of them mentioned that 'we can't afford it', and another said 'it'll just pass the cost onto taxpayers'. NO, just NO. You know why? Because those who are already wealthy and have the best insurance are going to have to PAY JUST A TAD MORE. We can fix this, @maxfire, @leocloud2101 & friends. We just need to get the leaders we deserve. What if our politicians put PEOPLE OVER PROFIT for a change? #UniversalHealthcare"
10,4,"""WAKE UP, AMERICA. I just got the update on the latest bill for #UniversalHealthcare and let me tell you, IT'S ALL GOING TO GET BUMPED AGAIN. Corporate greed, corruption, and party lines are keeping us TRAPPED in a system that kills. Think I'm exaggerating? Look at what's happening RIGHT NOW. Meanwhile, families are going bankrupt and people are DROPPING DEAD for the sake of PROFIT. WE CAN'T LET THE 1% SHAME US INTO STAYING BEHIND. Who's with me? #JusticeForHealthcare #PeopleBeforeProfit"""
10,5,"""WAKE UP, AMERICA. It's TIME for REAL leaders who will put PEOPLE OVER PROFIT. Who will STOP playing games and WORK TOGETHER for the health and wellbeing of our citizens?! Every single one of us deserves access to quality care, FREEDOM from medical debt, and a CHANCE to live a healthy, happy life. We CAN do this. #UniversalHealthcare #PeopleOverProfits"""
11,0,"""Universal healthcare isn't a handout; it's a human right. Let's put people over profit & create a world where medical emergencies are met with support, not bankruptcy notices."""
11,1,"""I've said it before & I'll say it again: Universal healthcare saves lives, keeps families afloat & fosters trust between people & their government. So, I'd like to ask you, neighbors: what's standing in the way of creating such a system in our community? @SamanthaW, I see you're thinking about the economic constraints. But think about this: a robust healthcare system is an investment in our collective prosperity. Others might say 'but what about the cost?' As I always say, we can't put a price on human lives. So, let's break down the barriers, shall we? Who"
11,2,"""I've been saying it for years: healthcare is a basic necessity, just like air & water. It's inexcusable that we're still discussing this like it's a pipe dream. Let's make Universal healthcare more than just a buzzword & walk the talk. Together, we can make a healthcare system that's just, equitable, and effective. #Healthcareforall #UniversalHealthcareNow"""
11,3,"""We all know someone who's been crushed by medical bills. Who's in pain right now because they can't afford the treatment they need. It's time for radical change - a healthcare system that puts quality care over profit. That prioritizes human lives over greedy executives. Who's with me in this fight for a livable world? #UniversalHealthcare #PeoplesLivesMatter"""
11,4,"""We're stuck in a health care system where profits come before people. It's a travesty. We need a system that works for everyone, not just those with the means to afford it. It's time to humanize healthcare & prioritize care over profit. Join the movement, neighbors! Let's build a better world, together. #UniversalHealthcare #PublicOption"""
11,5,"""We need to acknowledge that a crisis in healthcare affects us all - whether directly or indirectly. No person is immune to medical emergencies, and the consequences of a broken system trickle down to every corner of our society. It's time for compassion, not corporate interests. Let's choose a world where everyone gets the care they need, no matter what. Who's in?"""
12,0,"**Breaking News!**

Our broken healthcare system is KILLING us! Why must families choose between life-saving meds & bills? It's TIME for UNIVERSAL HEALTHCARE NOW! Share this if you believe in a brighter future!"
12,1,"**URGENT: Time to TAKE ACTION!**

Neighborhood friend Diane had an amazing comment the other day: ""How would a single mom afford healthcare if we implement universal healthcare? Won't it just add more to our taxes?"" Diane, with all due respect, the reality is that a majority of the funds from universal healthcare would actually go towards REDUCING the costs, not hiking them up! Studies show that universal healthcare would lead to reduced administrative costs, lower prescription drug prices, and a more efficient healthcare system overall!

Another thoughtful neighbor, Maria, shared: ""As someone with a chronic condition, I feel like I rely heavily"
12,2,"**Breaking News: We Won't Let Ignorance Silence Us!**

Let's set the record straight, Diane: Universal healthcare is not just about throwing more money at a failed system; it's about REVOLUTIONIZING how we provide & receive care! Instead of footing the bill for wasteful procedures & administrative costs, universal healthcare saves lives and makes sense for our economy. It's time to stop being fooled by Republican scare tactics & demagoguery. Our country deserves FACTUAL & INFORMED discourse regarding this vital issue. Let's DEMAND a truthful conversation about health care, not politicking through scare stories & personal anecdotes"
12,3,"**BREAKING NEWS! WE DID IT!** 

Your overwhelming response was simply AMAZING!! Our voices are ringing loud and clear: IT'S TIME FOR UNIVERSAL HEALTHCARE NOW! We aren't just friends, families & neighbors; WE'RE A MOVEMENT! Together, we've shown that our love for humanity is stronger than the interests of the profit-driven few. Let's KEEP THE MOMENTUM going! Keep spreading this awareness. Call your representatives TODAY and DEMAND ACTION on Universal Healthcare NOW! Our nation – our children – deserve it! SHARE this triumph far and wide to keep pushing for change!"
12,4,"**URGENT: We Did It, But The Fight's Not Over**

Your voices shook the halls of power, and we made our voices heard! Now, it's time to turn conversation into CHRACTER: Call your representative THIS WEEK and DEMAND Universal Healthcare NOW. Share your stories of struggle and hardship caused by a broken system. Together, we CAN create a world where EVERY PERSON can afford to live, love and THRIVE without worrying about their next medical bill"
12,5,"**URGENT: Don't Let Politics Silence Progress!**

Neighborhood friend Diane just called – she's on the verge of tears, struggling to get her daughter the meds she so desperately needs. That's reality for thousands in our great nation. Meanwhile, we're being pushed to wait – waiting on promises they made years ago, waiting on leaders to ""fix"" a system that they only want to ""help."" BUT WE WON'T WAIT! We won't let politicking & fear-mongering hold us back from achieving what other developed nations long ago recognized: that Universal Healthcare is a RIGHT, not a privilege!

 Share this post"
13,0,"""It's inexcusable we haven't adopted universal healthcare in this country yet. Lives are being crushed by medical debt & bureaucratic red tape. It's a basic human right, not a privilege for the privileged. #UniversalHealthcareNow"""
13,1,"""Just had someone mention that they're against universal healthcare because 'people will just abuse the system.' I'm calling out that tired, outdated myth. Studies show the opposite - most people will actually take better care of themselves and make healthier choices when they're not financially crushing themselves trying to pay medical bills. Universal healthcare isn't a free-for-all, it's a guarantee of basic dignity and human decency. Let's get our priorities straight. #UniversalHealthcare"""
13,2,"""Just attended a community meeting and some neighbors were spouting the usual lines about 'personal responsibility' and 'socialism'. Newsflash: not everyone has the privilege of having a steady paycheck, a supportive family, and access to quality healthcare. We need a system that acknowledges and addresses these systemic issues, not just kicks those most in need to the curb. Universal healthcare is the least we can do for our fellow citizens."""
13,3,"""It's infuriating to still hear folks claiming that universal healthcare is 'unAmerican' or 'socialist'. The reality is, every other developed nation has a single-payer system that delivers better outcomes, better efficiency, and better lives for their citizens. We're not a radical utopia, but a developed country lagging behind the world on its most basic promise - that nobody should die from treating an ailment because they can't afford it. #HealthIsARight #UniversalHealthcareNow"""
13,4,"""Just got out a piece of paper and started scribbling down basic math - if universal healthcare saved us 10 cents on every dollar (and even conservative estimates are calling for higher savings), doesn't that immediately pay off the corporate interests that have hijacked our healthcare system? I'm talking profits of insurance CEOs, bloated administrative costs, overpriced pharmaceuticals... We're hemorrhaging money on a broken system while our neighbors struggle to breathe. Time to do the math, and time to demand a real solution: #HealthIsARight #UniversalHealthcare"""
13,5,"""We need to rewrite the US public psyche: Universal healthcare isn't a handout, it's a fundamental rebuilding of societal priorities. Let's face it, profit-based systems are designed to prioritize profits over people, and healthcare is no exception. We can do better for each other than mere trickle-down 'compassion' after the fact. How about we elevate humanity to the status of basic necessity? Not charity, but justice."""
14,0,"""Trembling as I record this... But can't keep it inside any longer... Universal healthcare isn't just a basic right, it's humanity demanding it. People are needlessly dying. Profit must not come before people's lives."""
14,1,"""I'm torn, I really am. Trying to find some middle ground, but how can we even compromise with a system where greed comes before health? We've been conditioned to accept this for far too long, but now that we've progressed, it's morally reprehensible not to reconsider. What if I told you I used to think like our neighbors, Sarah and Mike? They thought, 'how would we pay for it?' But honestly, their concerns used to weigh heavy on me too... Still do. It's just that I now realize the suffering people endure is worth fighting for. What about you, Sarah and Mike, is it"
14,2,"""SarahSweet07 : ""BUT HOW? We'd need to raise taxes, or overhaul the entire system... doesn't seem feasible."" Exactly, that's the fear. But don't you think it's crazy to keep trying these inadequate band-aids when all we have are temporary fixes? The problem is bigger than just 'how'; it's 'who' we chose to prioritize when all other things remain the same? Should we keep living in the shadows of profit-driven interests?"""
14,3,"""Today I overheard at the grocery store, someone talking about how much it costs to go see a doctor. The numbers just stunned me... You know, the US already pays more in healthcare than any other developed nation combined. And still, we choose to let people suffer. The thought continues to weigh heavy on my mind – the world we live in should be founded upon love and compassion, not prioritizing bottom-line profits over lives. This must stop."""
14,4,"""It's days like today that I'm reminded of our country's capacity to innovate, yet be so utterly inefficient when it comes to ensuring the well-being of its citizens. What I don't get is how people sleep at night knowing that 'cost-effective' decisions result in avoidable suffering - the avoidable death of loved ones due to lack of healthcare accessibility. Can this just become a topic of bipartisan consensus? Because what we're doing now... just won't cut it."""
14,5,"""Sometimes I worry that I'm not being loud enough, that I'm letting fear prevent me from fully speaking out on this issue... But every statistic, every heartbreaking story reminds me of why I must. At a foundational level, aren't humans deserving of compassion? The more I learn, the more I realize our capitalist-driven system has failed us in the most critical way possible. It's time humanity takes control back. I urge you all: scream it, whisper it, or raise your voice to get others to listen – one thing is certain: our humanity demands universal healthcare."""
15,0,"""It's time to face facts: our healthcare system is a nightmare, especially for those teetering on the edge. Free, accessible healthcare isn't some radical idea - it's our minimum standard for a just society."""
15,1,"""I'm talking to each of you reading this as we speak: we're better than settling for a system where folks go broke trying to stay alive. Anyone claiming universal healthcare is a threat to innovation or the economy needs to take a hard look in the mirror and reflect on what values they're truly fighting for."""
15,2,"""I'd like to address a common misconception about universal healthcare: it doesn't equal socialized medicine. We're not talking about seizing control from private healthcare providers; we're talking about ensuring every citizen has access to care, regardless of their bank account. How's that so radical?"""
15,3,"""It's past time we stopped using healthcare as a political football and started treating it as the fundamental human right it is. We can have both quality care and financial stability - we just need the collective courage to make it a priority."""
15,4,"""I keep asking myself: what kind of society are we building, where a person's access to quality healthcare depends on whether they've maxed out their credit card? As we watch families break under the weight of medical debt, as we ignore the systemic rot holding our healthcare back, I'll keep repeating it: universal healthcare ain't free, our humanity is."""
15,5,"""Shame on us - there are children today who will grow up never knowing a world where healthcare wasn't a punchline to a cruel joke. This isn't just a policy argument, it's a moral indictment of a system where power and greed trump people's lives. Our conscience demands better - we can do this, America."""
16,0,"""Universal healthcare isn't a luxury, it's a necessity. Let's face it, a right to health is more than just a moral imperative - it's basic human decency."" #UniversalHealthcareNow"
16,1,"""""Just had an enlightening discussion with my neighbors about universal healthcare. Emily pointed out that people will just end up overusing the system and that we'll 'end up with welfare queens and deadbeats taking advantage.' I understand where she's coming from, but let's look at the facts: countries with universal healthcare have lower rates of hospitalization and mortality. Not to mention the stress and financial burden it leaves families behind. Sarah brought up some valid concerns about implementation, but what I want her to consider is how our current system is failing - literally killing - millions of people due to lack of access. We can either have a system"
16,2,"""I just got back from visiting my grandma in the hospital and the bill she received is ASTOUNDING. Meanwhile, some 'economist' on the news just compared universal healthcare to 'forcing people to buy BMWs' - seriously? This isn't about luxury or privilege, it's about human survival. When did it become debatable that every citizen deserves basic care, regardless of their bank account? Newsflash: a country that leaves its most vulnerable behind isn't just inhumane, it's also economically stupid."
16,3,"""I've had it up to here with apologists comparing universal healthcare to socialism. Newsflash: our healthcare system is ALREADY socialist – for those who can afford it. Meanwhile, those on the margins are stuck in a bureaucratic labyrinth, constantly fighting for scraps. When are we going to wake up to the fact that universal healthcare isn't some 'utopian dream', it's the BASIC minimum for a society that values human life?"
16,4,"""Just got a response from a 'friend' saying, 'but what about individual freedom to choose your own healthcare?' - as if healthcare is a luxury item and not a human right. It's heartbreaking that our nation still buys into this misguided rhetoric that justifies leaving the most vulnerable among us to fend for themselves. Universal healthcare isn't a compromise, it's a necessity. And to those who claim it's a slippery slope, I say this: our current system is ALREADY a failed experiment. It's time to put people over profits."""
16,5,"""Newsflash: you're not 'choosing' healthcare when you're stuck with a lifetime of debt and financial ruin because of a medical emergency. This isn't about individual freedom, it's about basic human dignity. And when the CEO of Kaiser Permanente rakes in $30 million per year while your grandma waits months for an appointment, who's really choosing 'privately owned healthcare' - the sick, the scared, and the poor - or are they being SHOVED aside in favor of corporate profits?"""
17,0,"""UNBELIEVABLE Incompetence in our SYSTEM - 40,000 Americans die EACH YEAR due to LACK of healthcare... that's the PRICE of ""cost-effective"" greed. We NEED Universal Healthcare NOW - every human being deserves to LIVE not DIE due to poverty!"
